Time_s,Force_N
0,0
0.0200100050025013,-1604.61033775788
0.0400200100050025,-2892.39583506568
0.0610305152576288,-2094.29446241606
0.0810405202601301,-730.493763899796
0.101050525262631,386.083553042094
0.121060530265133,1415.35698424526
0.141070535267634,2437.57589382977
0.16208104052026,3252.71794374031
0.182091045522761,3563.65315438921
0.202101050525263,3373.44256967145
0.222111055527764,2723.81400912872
0.242121060530265,1689.60104521832
0.262131065532766,398.27969577055
0.283141570785393,-1047.17493250134
0.303151575787894,-2312.33451555508
0.323161580790395,-3292.44240396427
0.343171585792896,-3853.37938831574
0.356178089044522,-3953.53507096697
0.363181590795398,-3918.51802023243
0.384192096048024,-3445.37395876244
0.404202101050525,-2539.04168148391
0.424212106053027,-1315.60594581737
0.444222111055528,56.7688560115114
0.464232116058029,1390.44837689111
0.485242621310655,2550.51237453725
0.505252626313157,3270.65947108233
0.525262631315658,3518.44270061758
0.545272636318159,3265.76563587814
0.56528264132066,2550.43769317413
0.586293146573287,1419.28623253633
0.606303151575788,142.038094321015
0.626313156578289,-1144.09416567939
0.64632316158079,-2255.58027757016
0.666333166583292,-3034.35864024012
0.687343671835918,-3374.30724467003
0.707353676838419,-3195.35307291186
0.72736368184092,-2549.94933929065
0.747373686843422,-1529.85157846124
0.767383691845923,-279.004464511662
0.787393696848424,1023.83040637664
0.808404202101051,2245.5304904795
0.828414207103552,3097.80650521251
0.848424212106053,3521.26972937012
0.868434217108554,3454.5439451908
0.888444222111056,2906.22874107455
0.909454727363682,1892.52550164565
0.929464732366183,649.529049662792
0.949474737368684,-686.751209502715
0.969484742371186,-1930.21710804087
0.989494747373687,-2896.15558064401
1.01050525262631,-2947.9582352098
1.03051525762881,-986.648944002266
1.05052526263132,-428.220399073786
1.07053526763382,-845.897019248989
1.09054527263632,-930.770896472298
1.11155577788894,-623.857783554734
1.13156578289145,-383.742189784417
1.15157578789395,-264.309096997163
1.17158579289645,-149.150974695747
1.19159579789895,-6.78955624839165
1.21260630315158,131.335914696763
1.23261630815408,233.34044867713
1.25262631315658,313.594386525275
1.27263631815908,377.081113325318
1.29264632316158,421.796522551474
1.31265632816408,446.255384378295
1.33366683341671,451.890877820432
1.35367683841921,440.704651260094
1.37368684342171,415.544387649174
1.39369684842421,378.588471441316
1.41370685342671,332.391328037397
1.43471735867934,276.852109732006
1.45472736368184,219.947676887879
1.47473736868434,161.510877709969
1.49474737368684,103.766614901143
1.51475737868934,48.6805853838676
1.53576788394197,-4.57385077965631
1.55577788894447,-49.5413851098076
1.57578789394697,-87.8771748708008
1.59579789894947,-119.042051845047
1.61580790395198,-142.682288215479
1.6368184092046,-159.39350011644
1.6568284142071,-167.876768139414
1.6768384192096,-169.593368384664
1.69684842421211,-165.212337526567
1.71685842921461,-155.551267952765
1.73786893446723,-140.722919745289
1.75787893946973,-123.126283077674
1.77788894447224,-103.152452621846
1.79789894947474,-81.7499332080173
1.81790895447724,-59.80459164659
1.83791895947974,-38.1542525240396
1.85892946473237,-16.5316275735352
1.87893946973487,2.39439664896334
1.89894947473737,19.1828154062636
1.91895947973987,33.4833045748375
1.93896948474237,45.0771462120591
1.959979989995,54.2056747331476
1.9799899949975,60.0024454073998
2,63.092500529653
